Movie Name,Year,Score,Critics Consensus,Directors,Cast,Adjusted Score,Synopsis
The Equalizer,2014,60,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",67.531,"Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself... [More]"
Captain America: Civil War,2016,90,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",117.318,Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The... [More]
Air Force One,1997,78,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.",Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson",80.414,"After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force... [More]"
Bloodsport,1988,40,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.",Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton",40.197,"U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly... [More]"
Blade,1998,57,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",62.983,"A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced... [More]"
Bad Boys,1995,42,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.",Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",45.958,Miami-Dade detectives Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) blow a fuse when $100 million worth of heroin... [More]
Die Hard With a Vengeance,1995,59,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",63.894,"Detective John McClane (Bruce Willis) is now divorced, alcoholic and jobless after getting fired for his reckless behavior and bad... [More]"
The Running Man,1987,66,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto",68.234,"In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a... [More]"
Code of Silence,1985,70,No consensus yet.,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",70.955,"In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar... [More]"
Shoot 'Em Up,2007,67,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon",73.75,"After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ... [More]"
