Artist,Collection,Track Name,Track ID,Track URL,Release Date,Genre,Track Price,Currency
The Beatles,Abbey Road (2019 Mix),You Never Give Me Your Money,1474815900,https://music.apple.com/us/album/you-never-give-me-your-money-2019-mix/1474815798?i=1474815900&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Carry That Weight,1474815906,https://music.apple.com/us/album/carry-that-weight-2019-mix/1474815798?i=1474815906&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Polythene Pam,1474815903,https://music.apple.com/us/album/polythene-pam-2019-mix/1474815798?i=1474815903&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Mean Mr. Mustard,1474815902,https://music.apple.com/us/album/mean-mr-mustard-2019-mix/1474815798?i=1474815902&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Dear Prudence,1441133428,https://music.apple.com/us/album/dear-prudence/1441133180?i=1441133428&uo=4,1968-11-22T12:00:00Z,Pop,1.29,USD
The Beatles,The Beatles (The White Album),Back In the U.S.S.R.,1441133197,https://music.apple.com/us/album/back-in-the-u-s-s-r/1441133180?i=1441133197&uo=4,1968-11-22T12:00:00Z,Pop,1.29,USD
The Beatles,The Beatles (The White Album),Rocky Raccoon,1441133857,https://music.apple.com/us/album/rocky-raccoon/1441133180?i=1441133857&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),Sgt. Pepper's Lonely Hearts Club Band,1573250534,https://music.apple.com/us/album/sgt-peppers-lonely-hearts-club-band-remix/1573250333?i=1573250534&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),Don't Let Me Down,1441133286,https://music.apple.com/us/album/dont-let-me-down/1441133100?i=1441133286&uo=4,1969-04-11T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Helter Skelter,1441134207,https://music.apple.com/us/album/helter-skelter/1441133180?i=1441134207&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),Strawberry Fields Forever,1441133101,https://music.apple.com/us/album/strawberry-fields-forever/1441133100?i=1441133101&uo=4,1967-02-13T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Sun King,1474815901,https://music.apple.com/us/album/sun-king-2019-mix/1474815798?i=1474815901&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,Abbey Road (2019 Mix),Her Majesty,1474815908,https://music.apple.com/us/album/her-majesty-2019-mix/1474815798?i=1474815908&uo=4,1969-09-26T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),I Will,1441133910,https://music.apple.com/us/album/i-will/1441133180?i=1441133910&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),I Am the Walrus,1441133272,https://music.apple.com/us/album/i-am-the-walrus/1441133100?i=1441133272&uo=4,1967-11-24T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Mother Nature's Son,1441134096,https://music.apple.com/us/album/mother-natures-son/1441133180?i=1441134096&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Everybody's Got Something to Hide Except Me and My Monkey,1441134192,https://music.apple.com/us/album/everybodys-got-something-to-hide-except-me-and-my-monkey/1441133180?i=1441134192&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,Revolver,Eleanor Rigby,1441164806,https://music.apple.com/us/album/eleanor-rigby/1441164670?i=1441164806&uo=4,1966-08-05T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Happiness Is a Warm Gun,1441133681,https://music.apple.com/us/album/happiness-is-a-warm-gun/1441133180?i=1441133681&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Julia,1441133915,https://music.apple.com/us/album/julia/1441133180?i=1441133915&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),"Hello, Goodbye",1441133273,https://music.apple.com/us/album/hello-goodbye/1441133100?i=1441133273&uo=4,1967-11-24T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles (The White Album),Revolution 1,1441134376,https://music.apple.com/us/album/revolution-1/1441133180?i=1441134376&uo=4,1968-11-22T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1962-1966 (The Red Album),I Want to Hold Your Hand,1441133348,https://music.apple.com/us/album/i-want-to-hold-your-hand/1441132965?i=1441133348&uo=4,1963-11-29T12:00:00Z,Rock,1.29,USD
The Beatles,The Beatles 1967-1970 (The Blue Album),With a Little Help From My Friends,1441133267,https://music.apple.com/us/album/with-a-little-help-from-my-friends/1441133100?i=1441133267&uo=4,1967-06-01T12:00:00Z,Rock,1.29,USD
The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remix),Getting Better,1573250871,https://music.apple.com/us/album/getting-better-remix/1573250333?i=1573250871&uo=4,1967-05-26T12:00:00Z,Rock,1.29,USD
The Beatles,Please Please Me,Twist and Shout,1441165136,https://music.apple.com/us/album/twist-and-shout/1441164816?i=1441165136&uo=4,1963-03-22T12:00:00Z,Rock,1.29,USD
